Organizador,Ano_Mes,Dia_da_Semana,Tipo_Dia,Objetivo,Date,AdSet_name,Amount_spent,Link_clicks,Impressions,Conversions,Segmentação,Tipo_de_Anúncio,Fase
2344,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-02,topfunnel_interesses_cloud_estatico_v1,42.75,70,3955,16,Interesses_Cloud,Estático,1º Lançamento | Leads
2350,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-02,topfunnel_broad_tech_video_v1,49.56,49,2309,8,Broad_Tecnologia,Video,1º Lançamento | Leads
2688,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-02,topfunnel_broad_tech_video_v1,85.73,122,6491,7,Broad_Tecnologia,Video,1º Lançamento | Leads
2716,2025 | Janeiro,Quinta-Feira,Dia útil,Awareness,2025-01-02,midfunnel_rmkt_60d_estatico_v2,55.86,37,5964,,Remarketing_60dias,Estático,1º Lançamento | Live
3002,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-02,midfunnel_rmkt_60d_video_v3,3.78,3,300,,Remarketing_60dias,Video,1º Lançamento | Leads
3469,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-02,midfunnel_rmkt_60d_video_v1,25.47,15,1465,1,Remarketing_60dias,Video,1º Lançamento | Leads
3910,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-02,topfunnel_lal1_clientes_estatico_v1,41.65,18,2415,1,LookALike_Clientes_1,Estático,1º Lançamento | Leads
4913,2025 | Janeiro,Quinta-Feira,Dia útil,Awareness,2025-01-02,topfunnel_interesses_programacao_estatico_v1,21.25,8,954,,Interesses_Programacao,Estático,1º Lançamento | Live
5187,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-02,topfunnel_interesses_cloud_estatico_v2,40.27,51,2493,5,Interesses_Cloud,Estático,1º Lançamento | Leads
5684,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-02,topfunnel_broad_tech_estatico_v2,71.31,58,4527,9,Broad_Tecnologia,Estático,1º Lançamento | Leads
1153,2025 | Janeiro,Sexta-Feira,Dia útil,Awareness,2025-01-03,topfunnel_lal1_clientes_video_v2,10.78,8,628,,LookALike_Clientes_1,Video,1º Lançamento | Live
1369,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-03,midfunnel_rmkt_60d_estatico_v2,73.14,181,7227,44,Remarketing_60dias,Estático,1º Lançamento | Leads
2396,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-03,topfunnel_interesses_cloud_video_v1,41.45,51,2156,4,Interesses_Cloud,Video,1º Lançamento | Vendas
2684,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-03,midfunnel_rmkt_60d_estatico_v1,74.26,157,6546,30,Remarketing_60dias,Estático,1º Lançamento | Leads
2870,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-03,topfunnel_interesses_cloud_video_v2,55.60,46,2562,10,Interesses_Cloud,Video,1º Lançamento | Leads
2973,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-03,midfunnel_rmkt_60d_estatico_v1,70.99,116,6604,11,Remarketing_60dias,Estático,1º Lançamento | Leads
3272,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-03,midfunnel_rmkt_60d_estatico_v3,22.56,10,1074,1,Remarketing_60dias,Estático,1º Lançamento | Leads
3593,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-03,topfunnel_broad_tech_video_v1,98.41,77,4724,11,Broad_Tecnologia,Video,1º Lançamento | Leads
3754,2025 | Janeiro,Sexta-Feira,Dia útil,Awareness,2025-01-03,topfunnel_broad_tech_estatico_v2,7.75,5,530,,Broad_Tecnologia,Estático,1º Lançamento | Live
3962,2025 | Janeiro,Sexta-Feira,Dia útil,Awareness,2025-01-03,topfunnel_interesses_cloud_video_v1,24.01,8,2174,2,Interesses_Cloud,Video,1º Lançamento | Live
5973,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-03,topfunnel_interesses_programacao_video_v2,0.00,,0,,Interesses_Programacao,Video,1º Lançamento | Leads
1109,2025 | Janeiro,Sábado,Final de Semana,Leads,2025-01-04,topfunnel_lal1_clientes_video_v1,35.00,57,2510,11,LookALike_Clientes_1,Video,1º Lançamento | Leads
1459,2025 | Janeiro,Sábado,Final de Semana,Leads,2025-01-04,topfunnel_broad_tech_estatico_v1,67.39,38,4368,6,Broad_Tecnologia,Estático,1º Lançamento | Leads
2170,2025 | Janeiro,Sábado,Final de Semana,Awareness,2025-01-04,topfunnel_broad_tech_video_v2,25.55,12,2053,,Broad_Tecnologia,Video,1º Lançamento | Live
2578,2025 | Janeiro,Sábado,Final de Semana,Leads,2025-01-04,topfunnel_broad_tech_video_v1,24.49,19,1242,2,Broad_Tecnologia,Video,1º Lançamento | Vendas
2639,2025 | Janeiro,Sábado,Final de Semana,Leads,2025-01-04,topfunnel_interesses_programacao_estatico_v2,24.90,43,2251,11,Interesses_Programacao,Estático,1º Lançamento | Leads
2747,2025 | Janeiro,Sábado,Final de Semana,Leads,2025-01-04,midfunnel_rmkt_60d_video_v2,141.76,130,8505,19,Remarketing_60dias,Video,1º Lançamento | Leads
2976,2025 | Janeiro,Sábado,Final de Semana,Leads,2025-01-04,topfunnel_cargos_tech_video_v1,21.82,11,1172,2,Cargos_Tecnologia,Video,1º Lançamento | Leads
3118,2025 | Janeiro,Sábado,Final de Semana,Awareness,2025-01-04,topfunnel_broad_tech_video_v2,23.60,18,1303,1,Broad_Tecnologia,Video,1º Lançamento | Live
3841,2025 | Janeiro,Sábado,Final de Semana,Awareness,2025-01-04,topfunnel_interesses_cloud_estatico_v1,28.02,18,1461,2,Interesses_Cloud,Estático,1º Lançamento | Live
3903,2025 | Janeiro,Sábado,Final de Semana,Leads,2025-01-04,topfunnel_interesses_programacao_estatico_v1,22.55,16,1235,1,Interesses_Programacao,Estático,1º Lançamento | Leads
3907,2025 | Janeiro,Sábado,Final de Semana,Leads,2025-01-04,topfunnel_broad_tech_estatico_v1,12.81,9,593,,Broad_Tecnologia,Estático,1º Lançamento | Leads
3973,2025 | Janeiro,Sábado,Final de Semana,Leads,2025-01-04,midfunnel_rmkt_60d_video_v2,8.39,16,690,2,Remarketing_60dias,Video,1º Lançamento | Leads
4448,2025 | Janeiro,Sábado,Final de Semana,Leads,2025-01-04,topfunnel_broad_tech_estatico_v1,9.22,20,1701,3,Broad_Tecnologia,Estático,1º Lançamento | Leads
5469,2025 | Janeiro,Sábado,Final de Semana,Leads,2025-01-04,topfunnel_broad_tech_video_v2,126.09,156,7055,10,Broad_Tecnologia,Video,1º Lançamento | Vendas
5578,2025 | Janeiro,Sábado,Final de Semana,Leads,2025-01-04,topfunnel_interesses_cloud_video_v1,183.10,89,9544,8,Interesses_Cloud,Video,1º Lançamento | Leads
1336,2025 | Janeiro,Domingo,Final de Semana,Leads,2025-01-05,topfunnel_broad_tech_estatico_v1,32.46,15,2690,1,Broad_Tecnologia,Estático,1º Lançamento | Vendas
1430,2025 | Janeiro,Domingo,Final de Semana,Leads,2025-01-05,topfunnel_interesses_cloud_video_v1,86.83,53,7775,5,Interesses_Cloud,Video,1º Lançamento | Leads
1677,2025 | Janeiro,Domingo,Final de Semana,Leads,2025-01-05,topfunnel_interesses_cloud_video_v2,32.70,25,2419,5,Interesses_Cloud,Video,1º Lançamento | Leads
1759,2025 | Janeiro,Domingo,Final de Semana,Leads,2025-01-05,midfunnel_rmkt_60d_video_v1,37.94,42,2951,7,Remarketing_60dias,Video,1º Lançamento | Leads
1853,2025 | Janeiro,Domingo,Final de Semana,Leads,2025-01-05,topfunnel_cargos_tech_estatico_v3,16.88,16,891,,Cargos_Tecnologia,Estático,1º Lançamento | Leads
2081,2025 | Janeiro,Domingo,Final de Semana,Leads,2025-01-05,midfunnel_rmkt_60d_estatico_v1,6.34,9,499,,Remarketing_60dias,Estático,1º Lançamento | Leads
4399,2025 | Janeiro,Domingo,Final de Semana,Leads,2025-01-05,topfunnel_lal1_clientes_estatico_v3,25.74,18,1595,2,LookALike_Clientes_1,Estático,1º Lançamento | Leads
4639,2025 | Janeiro,Domingo,Final de Semana,Awareness,2025-01-05,topfunnel_interesses_programacao_video_v1,14.30,8,720,1,Interesses_Programacao,Video,1º Lançamento | Live
5365,2025 | Janeiro,Domingo,Final de Semana,Leads,2025-01-05,midfunnel_rmkt_60d_video_v1,34.52,18,2681,5,Remarketing_60dias,Video,1º Lançamento | Leads
1138,2025 | Janeiro,Segunda-Feira,Dia útil,Leads,2025-01-06,topfunnel_broad_tech_video_v2,105.76,60,4915,3,Broad_Tecnologia,Video,1º Lançamento | Vendas
1365,2025 | Janeiro,Segunda-Feira,Dia útil,Leads,2025-01-06,topfunnel_interesses_programacao_estatico_v2,87.54,34,6522,2,Interesses_Programacao,Estático,1º Lançamento | Leads
1387,2025 | Janeiro,Segunda-Feira,Dia útil,Leads,2025-01-06,midfunnel_rmkt_60d_video_v1,48.99,193,7590,12,Remarketing_60dias,Video,1º Lançamento | Vendas
1832,2025 | Janeiro,Segunda-Feira,Dia útil,Leads,2025-01-06,topfunnel_broad_tech_video_v1,61.95,26,4400,1,Broad_Tecnologia,Video,1º Lançamento | Leads
1842,2025 | Janeiro,Segunda-Feira,Dia útil,Awareness,2025-01-06,midfunnel_rmkt_60d_estatico_v2,49.50,14,3325,,Remarketing_60dias,Estático,1º Lançamento | Live
1919,2025 | Janeiro,Segunda-Feira,Dia útil,Leads,2025-01-06,topfunnel_interesses_cloud_video_v2,27.37,15,3049,2,Interesses_Cloud,Video,1º Lançamento | Leads
2275,2025 | Janeiro,Segunda-Feira,Dia útil,Leads,2025-01-06,topfunnel_interesses_cloud_estatico_v1,30.74,14,2733,2,Interesses_Cloud,Estático,1º Lançamento | Leads
2607,2025 | Janeiro,Segunda-Feira,Dia útil,Leads,2025-01-06,topfunnel_interesses_programacao_video_v2,0.00,,0,,Interesses_Programacao,Video,1º Lançamento | Leads
2693,2025 | Janeiro,Segunda-Feira,Dia útil,Leads,2025-01-06,topfunnel_lal1_clientes_video_v1,11.84,30,1096,5,LookALike_Clientes_1,Video,1º Lançamento | Vendas
2777,2025 | Janeiro,Segunda-Feira,Dia útil,Leads,2025-01-06,topfunnel_broad_tech_video_v3,72.05,25,4772,4,Broad_Tecnologia,Video,1º Lançamento | Leads
3019,2025 | Janeiro,Segunda-Feira,Dia útil,Leads,2025-01-06,topfunnel_broad_tech_estatico_v1,51.81,141,7352,9,Broad_Tecnologia,Estático,1º Lançamento | Leads
3416,2025 | Janeiro,Segunda-Feira,Dia útil,Leads,2025-01-06,topfunnel_broad_tech_video_v1,14.84,27,2699,2,Broad_Tecnologia,Video,1º Lançamento | Leads
3600,2025 | Janeiro,Segunda-Feira,Dia útil,Leads,2025-01-06,topfunnel_lal1_clientes_video_v1,46.09,70,3472,15,LookALike_Clientes_1,Video,1º Lançamento | Leads
4133,2025 | Janeiro,Segunda-Feira,Dia útil,Leads,2025-01-06,topfunnel_broad_tech_estatico_v2,29.83,5,1541,,Broad_Tecnologia,Estático,1º Lançamento | Leads
4632,2025 | Janeiro,Segunda-Feira,Dia útil,Leads,2025-01-06,topfunnel_cargos_tech_estatico_v1,3.54,8,281,,Cargos_Tecnologia,Estático,1º Lançamento | Leads
4838,2025 | Janeiro,Segunda-Feira,Dia útil,Leads,2025-01-06,topfunnel_lal1_clientes_video_v2,32.19,64,2504,8,LookALike_Clientes_1,Video,1º Lançamento | Leads
5233,2025 | Janeiro,Segunda-Feira,Dia útil,Leads,2025-01-06,topfunnel_lal1_clientes_video_v1,29.02,16,2149,1,LookALike_Clientes_1,Video,1º Lançamento | Leads
5342,2025 | Janeiro,Segunda-Feira,Dia útil,Leads,2025-01-06,topfunnel_interesses_programacao_estatico_v1,10.88,15,843,2,Interesses_Programacao,Estático,1º Lançamento | Leads
5624,2025 | Janeiro,Segunda-Feira,Dia útil,Leads,2025-01-06,topfunnel_interesses_cloud_estatico_v1,30.18,24,1612,4,Interesses_Cloud,Estático,1º Lançamento | Leads
1344,2025 | Janeiro,Terça-Feira,Dia útil,Leads,2025-01-07,midfunnel_rmkt_60d_video_v2,7.27,20,662,2,Remarketing_60dias,Video,1º Lançamento | Leads
1932,2025 | Janeiro,Terça-Feira,Dia útil,Awareness,2025-01-07,topfunnel_broad_tech_estatico_v1,86.52,91,6556,4,Broad_Tecnologia,Estático,1º Lançamento | Live
2010,2025 | Janeiro,Terça-Feira,Dia útil,Leads,2025-01-07,topfunnel_broad_tech_estatico_v2,22.60,11,1805,2,Broad_Tecnologia,Estático,1º Lançamento | Vendas
2627,2025 | Janeiro,Terça-Feira,Dia útil,Leads,2025-01-07,topfunnel_interesses_programacao_estatico_v2,56.84,83,4013,13,Interesses_Programacao,Estático,1º Lançamento | Vendas
3028,2025 | Janeiro,Terça-Feira,Dia útil,Leads,2025-01-07,topfunnel_interesses_programacao_estatico_v2,23.81,26,1961,1,Interesses_Programacao,Estático,1º Lançamento | Vendas
3861,2025 | Janeiro,Terça-Feira,Dia útil,Leads,2025-01-07,topfunnel_broad_tech_video_v2,0.75,,108,,Broad_Tecnologia,Video,1º Lançamento | Leads
4200,2025 | Janeiro,Terça-Feira,Dia útil,Leads,2025-01-07,topfunnel_interesses_programacao_video_v2,52.37,67,3729,15,Interesses_Programacao,Video,1º Lançamento | Leads
4630,2025 | Janeiro,Terça-Feira,Dia útil,Leads,2025-01-07,topfunnel_broad_tech_video_v1,41.17,24,4389,2,Broad_Tecnologia,Video,1º Lançamento | Leads
4920,2025 | Janeiro,Terça-Feira,Dia útil,Leads,2025-01-07,topfunnel_interesses_cloud_video_v3,37.75,43,3177,3,Interesses_Cloud,Video,1º Lançamento | Vendas
4994,2025 | Janeiro,Terça-Feira,Dia útil,Leads,2025-01-07,topfunnel_cargos_tech_estatico_v1,27.86,34,1433,5,Cargos_Tecnologia,Estático,1º Lançamento | Leads
5026,2025 | Janeiro,Terça-Feira,Dia útil,Leads,2025-01-07,topfunnel_broad_tech_video_v2,0.00,,0,,Broad_Tecnologia,Video,1º Lançamento | Leads
5185,2025 | Janeiro,Terça-Feira,Dia útil,Leads,2025-01-07,topfunnel_broad_tech_video_v3,45.41,66,3136,5,Broad_Tecnologia,Video,1º Lançamento | Leads
5482,2025 | Janeiro,Terça-Feira,Dia útil,Leads,2025-01-07,topfunnel_broad_tech_estatico_v1,35.46,24,2027,4,Broad_Tecnologia,Estático,1º Lançamento | Leads
1245,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-08,midfunnel_rmkt_60d_video_v2,3.46,6,240,2,Remarketing_60dias,Video,1º Lançamento | Leads
1409,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-08,topfunnel_cargos_tech_estatico_v1,77.02,67,5267,4,Cargos_Tecnologia,Estático,1º Lançamento | Leads
1665,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-08,midfunnel_rmkt_60d_video_v1,238.41,486,19584,121,Remarketing_60dias,Video,1º Lançamento | Leads
1738,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-08,topfunnel_interesses_programacao_estatico_v1,11.93,6,776,,Interesses_Programacao,Estático,1º Lançamento | Leads
2460,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-08,topfunnel_broad_tech_video_v2,29.80,46,1961,6,Broad_Tecnologia,Video,1º Lançamento | Leads
2575,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-08,topfunnel_broad_tech_video_v2,39.31,56,2641,3,Broad_Tecnologia,Video,1º Lançamento | Leads
2803,2025 | Janeiro,Quarta-Feira,Dia útil,Awareness,2025-01-08,topfunnel_broad_tech_video_v2,40.43,13,1944,1,Broad_Tecnologia,Video,1º Lançamento | Live
2913,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-08,topfunnel_interesses_programacao_video_v1,37.52,40,2606,10,Interesses_Programacao,Video,1º Lançamento | Leads
3632,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-08,topfunnel_interesses_cloud_estatico_v1,89.77,34,5467,6,Interesses_Cloud,Estático,1º Lançamento | Leads
3727,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-08,topfunnel_lal1_clientes_video_v2,12.49,16,613,4,LookALike_Clientes_1,Video,1º Lançamento | Leads
3905,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-08,topfunnel_broad_tech_video_v2,50.56,25,2362,4,Broad_Tecnologia,Video,1º Lançamento | Leads
4481,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-08,topfunnel_interesses_cloud_estatico_v1,25.73,10,1945,,Interesses_Cloud,Estático,1º Lançamento | Leads
5045,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-08,topfunnel_cargos_tech_video_v2,38.61,26,2289,1,Cargos_Tecnologia,Video,1º Lançamento | Vendas
5186,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-08,topfunnel_cargos_tech_video_v1,39.00,39,1879,3,Cargos_Tecnologia,Video,1º Lançamento | Leads
5205,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-08,topfunnel_broad_tech_video_v2,88.40,370,14968,27,Broad_Tecnologia,Video,1º Lançamento | Leads
5506,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-08,topfunnel_broad_tech_video_v1,50.25,74,3429,14,Broad_Tecnologia,Video,1º Lançamento | Leads
1157,2025 | Janeiro,Quinta-Feira,Dia útil,Awareness,2025-01-09,topfunnel_broad_tech_video_v1,67.51,52,5303,4,Broad_Tecnologia,Video,1º Lançamento | Live
1765,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-09,midfunnel_rmkt_60d_video_v3,6.05,6,295,1,Remarketing_60dias,Video,1º Lançamento | Leads
1996,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-09,topfunnel_interesses_programacao_video_v1,25.38,21,1503,2,Interesses_Programacao,Video,1º Lançamento | Leads
2062,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-09,topfunnel_lal1_clientes_estatico_v1,0.00,,0,,LookALike_Clientes_1,Estático,1º Lançamento | Vendas
3553,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-09,topfunnel_cargos_tech_estatico_v2,27.18,20,1371,1,Cargos_Tecnologia,Estático,1º Lançamento | Leads
3567,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-09,topfunnel_broad_tech_estatico_v1,17.37,24,1105,3,Broad_Tecnologia,Estático,1º Lançamento | Leads
4020,2025 | Janeiro,Quinta-Feira,Dia útil,Awareness,2025-01-09,topfunnel_cargos_tech_video_v3,23.98,26,1549,1,Cargos_Tecnologia,Video,1º Lançamento | Live
4140,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-09,midfunnel_rmkt_60d_estatico_v3,86.16,63,5871,16,Remarketing_60dias,Estático,1º Lançamento | Leads
4165,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-09,topfunnel_cargos_tech_estatico_v3,45.52,46,1951,7,Cargos_Tecnologia,Estático,1º Lançamento | Leads
4335,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-09,topfunnel_cargos_tech_estatico_v2,13.66,21,1118,1,Cargos_Tecnologia,Estático,1º Lançamento | Leads
4530,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-09,topfunnel_lal1_clientes_estatico_v2,38.11,54,3104,9,LookALike_Clientes_1,Estático,1º Lançamento | Leads
5464,2025 | Janeiro,Quinta-Feira,Dia útil,Awareness,2025-01-09,topfunnel_broad_tech_estatico_v1,17.75,13,1201,1,Broad_Tecnologia,Estático,1º Lançamento | Live
5476,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-09,midfunnel_rmkt_60d_video_v2,41.51,65,2392,18,Remarketing_60dias,Video,1º Lançamento | Leads
5584,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-09,topfunnel_broad_tech_estatico_v3,20.62,6,1210,,Broad_Tecnologia,Estático,1º Lançamento | Vendas
5751,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-09,topfunnel_interesses_cloud_estatico_v1,11.13,15,1145,,Interesses_Cloud,Estático,1º Lançamento | Leads
1065,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-10,topfunnel_interesses_programacao_estatico_v1,97.24,34,5865,5,Interesses_Programacao,Estático,1º Lançamento | Leads
1156,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-10,topfunnel_broad_tech_video_v2,7.60,4,907,1,Broad_Tecnologia,Video,1º Lançamento | Leads
1530,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-10,topfunnel_interesses_cloud_estatico_v1,63.35,42,4315,8,Interesses_Cloud,Estático,1º Lançamento | Leads
1807,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-10,topfunnel_broad_tech_video_v1,6.21,6,433,2,Broad_Tecnologia,Video,1º Lançamento | Leads
2116,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-10,topfunnel_interesses_programacao_estatico_v1,7.18,1,272,1,Interesses_Programacao,Estático,1º Lançamento | Leads
2372,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-10,topfunnel_cargos_tech_estatico_v3,14.27,19,824,2,Cargos_Tecnologia,Estático,1º Lançamento | Leads
2436,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-10,midfunnel_rmkt_60d_estatico_v1,8.11,4,409,,Remarketing_60dias,Estático,1º Lançamento | Leads
2750,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-10,midfunnel_rmkt_60d_video_v3,51.14,158,4841,32,Remarketing_60dias,Video,1º Lançamento | Leads
3366,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-10,topfunnel_interesses_programacao_estatico_v1,15.27,37,1789,8,Interesses_Programacao,Estático,1º Lançamento | Leads
3981,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-10,midfunnel_rmkt_60d_estatico_v2,18.79,15,1195,1,Remarketing_60dias,Estático,1º Lançamento | Leads
4059,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-10,midfunnel_rmkt_60d_video_v2,44.57,56,3753,4,Remarketing_60dias,Video,1º Lançamento | Leads
4066,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-10,topfunnel_lal1_clientes_video_v2,25.19,21,1409,4,LookALike_Clientes_1,Video,1º Lançamento | Leads
4946,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-10,midfunnel_rmkt_60d_estatico_v3,47.52,92,4076,15,Remarketing_60dias,Estático,1º Lançamento | Vendas
2055,2025 | Janeiro,Sábado,Final de Semana,Leads,2025-01-11,topfunnel_interesses_programacao_estatico_v3,23.65,11,1133,,Interesses_Programacao,Estático,1º Lançamento | Leads
2936,2025 | Janeiro,Sábado,Final de Semana,Awareness,2025-01-11,topfunnel_cargos_tech_estatico_v1,25.43,20,1762,2,Cargos_Tecnologia,Estático,1º Lançamento | Live
3126,2025 | Janeiro,Sábado,Final de Semana,Leads,2025-01-11,midfunnel_rmkt_60d_video_v1,17.80,22,1355,3,Remarketing_60dias,Video,1º Lançamento | Leads
3304,2025 | Janeiro,Sábado,Final de Semana,Awareness,2025-01-11,midfunnel_rmkt_60d_video_v2,26.47,66,3425,2,Remarketing_60dias,Video,1º Lançamento | Live
3322,2025 | Janeiro,Sábado,Final de Semana,Leads,2025-01-11,topfunnel_lal1_clientes_estatico_v2,50.06,45,3800,4,LookALike_Clientes_1,Estático,1º Lançamento | Vendas
3339,2025 | Janeiro,Sábado,Final de Semana,Leads,2025-01-11,topfunnel_interesses_programacao_video_v1,7.58,11,608,2,Interesses_Programacao,Video,1º Lançamento | Vendas
3961,2025 | Janeiro,Sábado,Final de Semana,Leads,2025-01-11,topfunnel_interesses_cloud_estatico_v2,14.61,15,818,3,Interesses_Cloud,Estático,1º Lançamento | Leads
4544,2025 | Janeiro,Sábado,Final de Semana,Leads,2025-01-11,topfunnel_interesses_programacao_estatico_v2,37.50,13,2454,3,Interesses_Programacao,Estático,1º Lançamento | Vendas
4576,2025 | Janeiro,Sábado,Final de Semana,Leads,2025-01-11,topfunnel_lal1_clientes_estatico_v2,75.24,74,4192,10,LookALike_Clientes_1,Estático,1º Lançamento | Vendas
4950,2025 | Janeiro,Sábado,Final de Semana,Leads,2025-01-11,topfunnel_lal1_clientes_estatico_v3,39.56,45,2133,8,LookALike_Clientes_1,Estático,1º Lançamento | Leads
